days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
106,NA,0.4312803685321536,0.4441410830431547,0.17135945407242645,0.4894710291348448,0.2800728850086341,0.2800728850086341
107,NA,0.43344389956362517,0.4459333792387003,NA,0.4894710291348448,NA,0.43344389956362517
108,NA,0.4356074305950967,0.4477235876586734,NA,0.4894710291348448,NA,0.4356074305950967
109,NA,0.4377709616265682,0.4495117053309783,0.11067103018892077,0.4894710291348448,0.1808826649201858,0.1808826649201858
110,NA,0.43993449265803974,0.45129772928351924,0.16500000000000165,0.4894710291348448,0.26967888218699154,0.26967888218699154
111,NA,0.4420980236895113,0.4530816565442005,0.17011760637864823,0.4894710291348448,0.2780431874455759,0.2780431874455759
112,NA,0.4442615547209828,0.45486348414092664,0.16425019025864113,0.4894710291348448,0.26845338004818536,0.26845338004818536
113,NA,0.4464250857524543,0.4566432091016018,0.15959323293924516,0.4894710291348448,0.2608419676585658,0.2608419676585658
114,NA,0.44858861678392586,0.45842082845413024,NA,0.4894710291348448,NA,0.44858861678392586
115,NA,0.45075214781539735,0.46019633922641645,NA,0.4894710291348448,NA,0.45075214781539735
116,NA,0.4529156788468689,0.4619697384463648,0.1136606792166916,0.4894710291348448,0.1857689995137655,0.1857689995137655
117,NA,0.45507920987834044,0.4637410231418796,0.1846406983847302,0.4894710291348448,0.30177998270678186,0.30177998270678186
118,NA,0.457242740909812,0.46551019034086494,0.1914908614007495,0.4894710291348448,0.31297600879744086,0.31297600879744086
119,NA,0.4594062719412835,0.4672772370712253,0.19435791725576881,0.4894710291348448,0.3176619749680425,0.3176619749680425
120,NA,0.461569802972755,0.4690421603608654,0.18545552027373333,0.4894710291348448,0.30311174183531425,0.30311174183531425
121,NA,0.46373333400422656,0.470804957237689,NA,0.4894710291348448,NA,0.46373333400422656
122,NA,0.46589686503569805,0.47256562472960056,NA,0.4894710291348448,NA,0.46589686503569805
123,NA,0.4680603960671696,0.4743241598645046,0.15051194688079292,0.4894710291348448,0.24599935509454351,0.24599935509454351
124,NA,0.47022392709864114,0.4760805596703054,0.19795438237129534,0.4894710291348448,0.3235401003751921,0.3235401003751921
125,NA,0.4723874581301126,0.47783482117490717,0.226851640211541,0.4894710291348448,0.3707702833608082,0.3707702833608082
126,NA,0.47455098916158417,0.47958694140621433,0.21363666586052021,0.4894710291348448,0.34917149844497175,0.34917149844497175
127,NA,0.4767145201930557,0.48133691739213114,0.24310491562286515,0.4894710291348448,0.39733492060203957,0.39733492060203957
128,NA,0.4788780512245272,0.48308474616056224,NA,0.4894710291348448,NA,0.4788780512245272
129,NA,0.48104158225599875,0.4848304247394114,NA,0.4894710291348448,NA,0.48104158225599875
130,NA,0.4832051132874703,0.4865739501565834,0.15940996976832586,0.4894710291348448,0.26054243913081093,0.26054243913081093
131,NA,0.4853686443189418,0.48831531943998246,0.20272254085678004,0.4894710291348448,0.3313332618931068,0.3313332618931068
132,NA,0.4875321753504133,0.4900545296175129,0.18808658245606058,0.4894710291348448,0.30741199582497775,0.30741199582497775
133,NA,0.48969570638188487,0.491791577717079,0.19095156453928497,0.4894710291348448,0.3120945725867335,0.3120945725867335
134,NA,0.4918592374133564,0.4935264607665851,0.18115946014492493,0.4894710291348448,0.296090186118071,0.296090186118071
135,NA,0.4940227684448279,0.4952591757939356,NA,0.4894710291348448,NA,0.4940227684448279
