days_to_meeting,finalrmse
318,0.6066339869869836
319,0.6087088631111844
320,0.6107693700085036
321,0.612821710229424
322,0.6148652945361711
323,0.6168995336909703
324,0.6189131184159579
325,0.6209267031409456
326,0.6229402878659331
327,0.6249312540351937
328,0.6269099288636327
329,0.6288757231134758
330,0.6308280475469483
331,0.6327514682217639
332,0.6346748888965795
333,0.6365983095713951
334,0.6384908623616384
335,0.6403669991466374
336,0.642226130688618
337,0.6440676677498052
338,0.6458640646409812
339,0.6476604615321574
340,0.6494568584233334
341,0.6512073019566602
342,0.6529361700599252
343,0.6546443034824465
344,0.6563325429735419
345,0.6579837970995119
346,0.659635051225482
347,0.661286305351452
348,0.662903376610023
349,0.6645047576837574
350,0.6660912893219733
351,0.6676638122739883
352,0.6692111203513282
353,0.6707584284286683
354,0.6723057365060082
355,0.6738306322063994
356,0.675345722967179
357,0.6768518495376653
358,0.6783498526671761
359,0.6798344114124619
360,0.6813189701577478
361,0.6828035289030336
362,0.684277445761821
363,0.6857474429262221
364,0.687214361145555
365,0.6886790411691374
366,0.6901420472989451
367,0.691605053428753
368,0.6930680595585608
369,0.6945321942923202
370,0.6959982945769185
371,0.6974672011616739
372,0.6989397547959039
373,0.7004224050268096
374,0.7019050552577153
375,0.7033877054886211
376,0.7048832548139287
377,0.7063866549353004
378,0.7078987466020542
379,0.7094203705635077
380,0.7109638616120872
381,0.7125073526606668
382,0.7140508437092463
383,0.7156190043426782
384,0.7172009010173993
385,0.7187973744827275
386,0.7204092654879807
387,0.7220547940708101
388,0.7237003226536396
389,0.725345851236469
390,0.727027819894601
391,0.7287294098392474
392,0.730451461819726
393,0.7321948165853548
394,0.73398357941901
395,0.7357723422526653
396,0.7375611050863206
397,0.7393980784857286
398,0.7412605584168762
399,0.7431493856290814
400,0.7450654008716617
401,0.7470385946727188
402,0.749011788473776
403,0.7509849822748331
404,0.7530181571320935
405,0.7550827237663184
406,0.7571647601907896
407,0.7592498938504703
408,0.7613417716367036
409,0.7634336494229369
410,0.7655255272091702
411,0.7676246987780897
412,0.7697277920664193
413,0.7718349719709987
414,0.7739464033886684
415,0.776066887488652
416,0.7781873715886356
417,0.7803078556886193
418,0.7824379421270505
419,0.7845731045627723
420,0.7867135078926247
421,0.788859317013448
422,0.7910164873723466
423,0.7931736577312452
424,0.7953308280901438
425,0.7974999093432513
426,0.7996752208715302
427,0.8018569275718205
428,0.804045194340962
429,0.8062471309039403
430,0.8084490674669186
431,0.8106510040298969
432,0.8128671600428456
433,0.8150907006088459
434,0.8173217906247385
435,0.8195605949873632
436,0.8218153776995859
437,0.8240701604118085
438,0.8263249431240312
439,0.8285962538419855
440,0.8308761033908724
441,0.8331646566675321
442,0.8354620785688045
443,0.8377777873754363
444,0.8400934961820681
445,0.8424092049886999
446,0.8447437503568246
447,0.8470879888337626
448,0.8494420853163539
449,0.8518062047014388
450,0.8541909195476443
451,0.8565756343938499
452,0.8589603492400554
453,0.8613662092035153
454,0.863782916553669
455,0.8662106361873569
456,0.8686495330014189
457,0.8711113338323629
458,0.8735731346633069
459,0.8760349354942509
460,0.8785201899982106
461,0.8810174461667448
462,0.8835268688966939
463,0.8860486230848977
464,0.8885955898457448
465,0.891142556606592
466,0.8936895233674391
467,0.8962622523570632
468,0.8988481372891427
469,0.9014473430605177
470,0.9040600345680279
471,0.9067002472039429
472,0.9093404598398579
473,0.911980672475773
474,0.9146482788750154
475,0.9173286785262768
476,0.9200217919375538
477,0.9227275396168435
478,0.9254582908588149
479,0.9281890421007863
480,0.9309197933427578
481,0.9336752831740672
482,0.9364430098133737
483,0.9392228937686744
484,0.942014855547966
485,0.944830708001896
486,0.947646560455826
487,0.9504624129097559
488,0.9533018910649806
489,0.9561530495841809
490,0.9590158089753535
491,0.9618900897464956
492,0.9647871483042325
493,0.9676842068619694
494,0.9705812654197064
495,0.9735008367906949
496,0.9764315320816371
497,0.9793732718005301
498,0.982325976455371
499,0.9853003460087633
500,0.9882747155621556
501,0.9912490851155479
502,0.9942448545941484
503,0.9972511915486809
504,1.0002680164871427
505,1.0032952499175305
506,1.0063430353584266
507,1.0093908207993227
508,1.0124386062402189
509,1.0155066787182796
510,1.0185847622282513
511,1.02167277727813
512,1.024770644375913
513,1.0278879505961613
514,1.0310052568164099
515,1.0341225630366582
516,1.0372590434060278
517,1.0404049783632863
518,1.0435602884164308
519,1.0467248940734577
520,1.0499078259649066
521,1.0530907578563555
522,1.0562736897478044
523,1.0594746829003314
524,1.0626845741967255
525,1.0659032841449838
526,1.069130733253103
527,1.0723753957076008
528,1.0756200581620987
529,1.0788647206165964
530,1.082126331444129
531,1.0853962839715072
532,1.0886744987067276
533,1.0919608961577876
534,1.0952633940671825
535,1.0985658919765777
536,1.1018683898859727
537,1.1051867232803594
538,1.1085128419305699
539,1.111846666344601
